Name,Country,Visited,Reviewed,Age,Experience Level,Program,Rating,Title,Review
A moyes,UK,Visited: February 2018,25-Feb-18,20-35,first safari,African Comfort Zone (ACZ safaris) LTD,1,Terrible. Book elsewhere. More focused on making money than customer experience,"More focused on making money than customer experience. Booked a safari tour with acz tours in Nairobi. Joshua and the office staff replied very promptly and payment went through smooth. All questions answered fully and quickly, great customer service. The tour itself is described as a 4 day safari. On day one I was picked up 0700 and drove around the city until 0900 picking up guests. The entire day was spent driving to the park with a 1.5 hour visit to park. (Wasted day).

Day 2 was a full 12 hours in the park where we seen lots. Unfortunately the breakfast had ran out of most foods by 0600 and no more was made so felt very hungry.  When lunch came around it wasn't much better, a terrible sandwich with hardly any meat and some rotten fruit.  Day 3 again spent driving, this time from 0700 until 1730. Wasted day again. We got to hotel just as was getting late. Was promised WiFi to which never worked.

Day 4 we spent 1.5 hours in the lake and the rest of the day driving to Nairobi. Again another long day in the van wasted.

Besides all of the following, I would like to point out a few issues. 
1. the drivers where late to pick us up every single morning from their designated meeting time.
2. They were forever driving whilst on their phones and 2 guests had to leave the tour early as they didn't feel safe. We almost crashed in the park trying to get to a rhino and inturn the van not only lost a wing mirror and the back bumper, but got stuck and we all had to get out and push! In a park full of lions haha.
3. The van is restricted to 80km so for 4 hours I had to sit listening to a continous beep noise.
4. Due to being a ride share I was forced to sit in the front as there was no seats in the back of the van. Due to this, I couldn't see very much whilst in the parks. 
5. The van seat was infested with insects. I told the driver to which he shrugged and said ""they won't bite"". As there was no other seat I was forced to sit for 6 hours with insects crawling all over me and my belongings. 
6. The best one of all, the van broke down 3 times and we spent over 2 hours waiting around.  On 2 occasions mechanics tried to help but the bus driver Richard was too pig headed he wouldn't allow and the mechanic left. In turn we lost out of hours in the park because of the poor van maintenance .
7. Out of 7 guests on the trip, 4 left really annoyed and the other 3 were not too happy. One quit his tour 2 days early because of the electrical fire in the van and didn't feel safe. One didn't feel safe driving at night with the driver. And the others had to change their plans to accommodate us so were not happy at all.

Over all the tour was not worth the money paid. Although the park was nice and the animals seen was fantastic, I feel this tour was extremely unorganized and if I had children I'd be furious the drivers put us into such unsafe conditions.  If you have the money I would book else where."
Abby,US,Visited: February 2020,03-Mar-20,20-35,first safari,Wildebeest Safaris LTD,2,Stolen Money,"Though the actual experience of the safari was great, the company stole our money. They led us to believe that due to a switch in lodges (due to a flood), the money that we paid several months in advanced had not been able to transfer from one lodge to the next. They then told us that they we would have to pay for the fees again and they would refund us. Our driver's name was Dennis. He gave us the name and number of his ""boss"", Noah who was suppose to drop of the money in USD at the hotel we were staying at. Of course he never showed up and promised that he would transfer the money into our accounts when we arrived in the us. Of course, he lied again. Till this day, we have no received our refund. This company will steal your money. Do not book with them. The driver smiled in our face the entire time and then ripped us off and refused to drive us into Nairobi unless we paid the fees. BE AWARE. My friends and I are posting this review on every website we possibly can to warn others."
accra,GH,Visited: December 2018,25-Feb-19,20-35,2-5 safaris,Impala Tours,1,The sentences on web site are not true,"I never recomend this tour company.  Almost things that they said is not true.
As for the  accomodation, the staff told me that we could  see sunset and sunrise there when  we asked before booking but actually we cannot tehre. We have to move another place to see and it takes one hour one way if we want. The driver said he doesn't want to. As a result, we could not.

As for payment, they said we can pay credit card  but actually they asked me to tell all information about our credit card.
Of course, we could not  for our finance security. And they needed money in advance and they told me to return bank transaction fee later if we pay by bank transfer in advance. So I believed and payed in advance by bank transfer  but he never return.


This is a very shocked trip...."
Achen,CA,Visited: September 2023,01-Nov-23,50-65,2-5 safaris,Kiboko Tours And Travel,1,Very disappointed with our tour guide," This was our family's first time to an African country and we were so looking forward to our safari with Kiboko Tours and Travels. Sadly, we were very disappointed. Due to budget constraints, we did choose the budget option for our safari and for that reason we were not disappointed with the vehicle or the lodges.  Both seemed like they had seen better days, but when you go budget, we know you don't get top of the line transportation or accommodation. However, what we were really disappointed with was our guide. I don't like to be critical of other people and know that it can be difficult being a tour guide, but during and after our safari, we wondered why our guide had chosen to be a tour guide and why you, as a safari company, had hired him for the position. He didn't seem to want to be a safari guide, as he spent more time on his phone (especially on the first day) than sharing with us his knowledge about the parks we¢®?re in, animals we¢®?re seeing and general information about what to expect on each tour. We learned more from the signs at the park and our own background research than we did from our guide. Our guide did not engage with us, ask us about ourselves and what we¢®?d like to get out of our first experience here in your beautiful country. I would think it good practice for tour guides to let their guests to know what to expect each day, and ask them what they¢®?d like to see (keeping in mind, of course, that nothing is guaranteed with a safari). I would expect a tour guide to think of themselves as an ambassador for their country, wanting to share with their guests their enthusiasm and knowledge about their country and what they are able to show their guests. Our guide was not like this at all. In fact, when we asked him questions about the parks we were visiting and wildlife we were seeing he often misinformed us as we found out later through our own online research. I would ask that Kiboko Tours and Travel either provide their guides with training or only hire guides that have been trained and qualified as tour guides. For this reason, I would not recommend this company for your safari. "
Adam,CA,Visited: September 2023,05-Oct-23,20-35,2-5 safaris,Super Eagles Travel and Tours,1,Extremely unorganized and I felt they didn¢®?t provide me with the services I purchased,"I booked a 10 day Kenya and Tanzania safari. I am well travelled and this is far from my first tour. Overall I found the company extremely disorganized, my first driver uninterested and rude to other guests, and that I didn¢®?t receive the services agreed on without actively being extremely vocal to get them and some I still didn¢®?t get at all.

There are three main reasons I leave a one star review for this company.

1) I had a morning Safari booked for Masai Mara, the night before I hear the itinerary is changed and we are no longer going there. They told me this is because the government changed the rules from 24 hour passes to 12 hour passes, I would have hopped that they could have either purchased passes on the next morning as that is what I had purchased or made it up in some other way. They seemed completely uninterested in doing either. I was in a group with many others on many different tours, none of theirs had this option, I felt like because mine was the only one with this option they decided to not do anything about this. 

2) After a short morning safari at Nakuru we headed to Amboseli, however on the way we had to stop at a gas station and wait for over two hours to get an additional two members in our vehicle, this meant we got in very late that night. We later found out the 2 members we were waiting for had just started there drive late that day due to the driver. I would have hoped the company would have either let us stay in Nakuru longer or would have sent the two others in a separate car.

3) When we went for our game drive in Amboseli our driver didn¢®?t have the correct payment options causing us to be delayed. He then asked if one of us could pay and he would pay back, he said it was $4 but turned out it was far more. The fact that this delayed us and the fact that he tried to get us to pay more than he said was very concerning. If my AMEX when through (they didn¢®?t take AMEX) I would have been charged a lot more than I was told. 

4) When I crossed the border to Tanzania I was left alone and told a bus would be there at 10:30 to pick me up, already an hour wait after I got through the border. The bus however didn¢®?t come until around 12:30 and didn¢®?t leave until 1:30. It is lucky I had data to communicate with them otherwise I would have been in trouble. The fact that they would never proactively communicate with me or give me accurate times was extremely frustrating.

5) Communication: this was an issue throughout the trip, you would often not know ahead of time what was happening or when to wake up, several nights I would message them throughout the day asking the plan for the next day and they would say ¢®¡Æsomeone will come tell you¢®¡¾ but no one ever would even after asking multiple times, then I would have to wake up in the middle of the night and message some more before finding out what time I had to wake up.

6) One day our whole party arrived at the hotel and the front desk told us there were no reservations for us. I never got an answer from the company as to what happened but clearly it didn¢®?t get booked. We then had to spend a bunch of time trying to figure out where we would all stay for the night as there were not enough rooms. Through pure generosity of the other people I was on tour with they decided to all cram into one room so I could have a room as the hotel only had two left. If not we would have been in a very bad situation late at night with a company that had proven they would make you wait a long time and would not communicate well.

That all being said Juma, my driver for the Tanzania portion was phenomenal. I just can¢®?t justify giving anything but one star based on the other factors. 

Overall this was an extremely frustrating experience and I would recommend staying away from this company. Hopefully I can save someone the pain. "
Adele,US,Visited: September 2015,16-Oct-15,20-35,first safari,Gecko Adventure Tanzania,2,We had to get the bus back,"First I would like to point out that out driver was Brilliant the whole way through. He could not do more to help us (his 7 month pregnant wife picked us up from DAS bus station to take us back to our hotel.

Booking was very easy and effective, the booking agent came to our hotel on the morning of pick up to collect the money from us (I think it is expensive, especially with the quality of car we were provided with).

The car was ancient (it never made it back from the trip) we got a flat tyre 2 hours into the journey (fine, it happens) then another few hours in, the car breaks down and take 2+ hours to fix (meaning the journey ended up taking 10 hours to reach the safari).
Lunch on the way to the Safari (not the modern looking stop) was lovely. It was a traditional buffet lunch.

The hotel at the safari was basic but clean and quite close to the Mikumi National park.
The safari was a great experience, our guide was knowledgeable and made the safari"
Adi,US,Visited: September 2023,04-Sep-23,35-50,first safari,Beacon Safaris,2,Unprofessional,"We planned a 5 day safari with Beacon via Robert. What should have been a memorable and enjoyable experience turned out to be full of stress thanks to their mismanagement.  Avoid if you want a company that works with you to make your trip enjoyable!

Beacon/ Robert promised and received payment for a customized 5 day safari. Our driver was Anthony and it was apparent early on that Robert did not discuss the itinerary with Anthony. Anthony would frequently refuse to follow the itinerary saying it was impractical/ unfeasible. When we tried to contact Robert to mediate, he would be unavailable. Ultimately, we were made to skip game drives or pay extra to go on game drives that were already included in the original invoice. We were told to pay extra because Robert wasn't aware of change in park fees.  At the end of the trip, we were dropped off not at our hotel but in the middle of Nairobi. Again thanks to miscommunication between Robert and Anthony. The only reason this isn't a 1 star review is that Robert agreed to split the cost of the additional safari drives even though he had already received payment for it. 

I wish this review was about Kenya's beautiful parks and the game drives we went on with Anthony. But our lasting impression of the trip was uncertainty and stress.  Robert and Anthony at Beacon, while not dishonest,  were disorganized, unprofessional and uncaring about giving you an enjoyable safari experience. "
ADRIAN TORTORA,AR,Visited: July 2019,18-Jul-19,50-65,first safari,All Seasons Safaris and Tours,2,"Very bad vehicles, old and poorly maintained and terrible guide.","The attention of Alex and Denis is excellent and they try to fulfill everything promised.
The problem is the vehicles used for the zafari, old, poorly maintained, they break halfway and lost hours on the route with mechanics, as if it were not enough to finish the arrangement I had to pay for the repair with later refund of money . Even there are mornings in which you have to push the vehicle because it has exhausted the battery. This means that the itinerary can not be fulfilled, and late arrivals to destinations are reached.
But even worse is the guide in Kenya (Paul) is lousy, has a bad predisposition to explain, is rude, does not even have a bottle of water to facilitate, which was committed in the contract. And of course he does not have binoculars like the rest of the guides.
The place is wonderful, but my advice is to hire another company to be able to enjoy without suffering these inconveniences."
Adriana,DE,Visited: January 2020,15-Apr-20,20-35,2-5 safaris,Twinkle Star Tours and Safaris,2,A huge disappointment.,"I will start with the fact that the 2 stars in this review are given to the beautiful Kenyan and Tanzanian nature and our amazing tour guides Brian from '7 Wonders' and Timothy-Simon from 'Twinkle Star' who made up for a large portion of their superiors' countless failures. Poor guides were at the same time also drivers and on top of it had to deal with numerous misunderstandings and failures due to the badly organized schedules and itineraries courtesy of their supervisors.
People like Brian and Simon should be the ones running the companies and not the other way around.
I was a part of a small group that took part in a 15-day Kenya-Tanzania tour, organized by Twinkle Star Tours and Safaris.  
Despite of me being an equal part of the group, paying the same price for the tour and ultimately sharing the same disappointment, I would not have written this review and kept my disappointment to myself had I not seen the reply from Benson of Twinkle Star Tours to my husband's review. 
Benson's reply just confirms what was said in the previous review about this tour operator's behavior- a total refusal to assume responsibility for anything and twisting of simple facts.
My husband explicitly asked the owner of Twinkle Star- James if the original itinerary will still be preserved despite of the 11 day delay in payment due to PayPal refusing to mediate such a large payment to a private account in Kenya. However, we managed to take care of the situation and once James Oketch confirmed in writing that the original itinerary will be unaffected and preserved we initiated the payment.
We were only briefed about the changes in accommodation *after* we had arrived in Kenya. This was of course very well planned on Twinkle Star's behalf since we were left with very little choice in the given circumstances. What were we to do? Say 'No, thank you.' and pack our bags, buy new airplane tickets for 3 times the early booking price and fly back to Germany?
They knew exactly what they were doing when they only informed us about the changes once we were already in Kenya. A decent company would ask their clients prior to their departure if they would agree to itinerary changes for a lower standard accommodation and if not they would refund them. Unfortunately 'Twinkle Star Tours' is not such a company. Despite of it all my husband still protested on a number of occasions about the changed itineraries and the bad conditions in some of the places we stayed in, about the missed or messed up lunch boxes and etc. The tour guides knew it all and they communicated it to James Oketch and Benson and their Tanzanian counterparts and on some occasions my husband did that too.
Spending our nights in tented camps in the middle of the Savannah would've been perfectly fine for the younger people in our group but we also had an elderly person with us who has several non- negligible health conditions. 
Having to shower with cold water due to yet more technical problems, being provided with scarce nutrition choices and being unable to go out of your tent at night because of the wild beasts roaming  around was not our elderly companion's idea for a 350USD a night accommodation and it was not what we paid for and agreed on.

As for the so-called safari vehicle. On the official website of 'Twinkle Star Tours and Safaris' it states 'We have invested in top of the range and reliable landcruisers for all our Land Safaris'. James personally confirmed in writing to my husband that their safari vehicles are up to the best modern standards but then again they also advertise 'We select top of the range and luxury hotels and lodges for that extra ordinary service' on their website and then you end up having to either shower cold, shower with filthy buckets by mixing hot and cold water by yourself and either bringing you on the verge of starvation or food poisoning you and your tour guide like it happened in Tanzania.
The above-mentioned antiquated minivan was absolutely not to the task of taking us on time to our destinations or let alone offering us a comfortable ride.
It had no air conditioning in the scorching heat. The air filters of the rusty minivan were situated at such a low level that when the slightest amount of water splashed the vehicle it meant we had to either wait for it to dry up or miss a game drive entirely.
We missed a morning game drive in Maasai Mara because it had rained a little the previous night and our guide was afraid water might get into the air filters, we missed a game drive upon arriving to Amboseli because we had to take alternative roads just so we can avoid water getting into the air filters, the next day we had a hurried 2 hour game drive instead of a full day one because our food menu plan was again messed up/not communicated properly to the lodge and we were again starving during the game drive, we missed another morning game drive because water had gotten into the air filters and the minivan was barely operational. We had long waits to just cross muddy/wet areas because of the badly situated air filters of the old minivan while virtually every other tour vehicle around us was passing through with no difficulties whatsoever.
It was a nightmare...

As for the promised small refund that James kept lying about. It was not simply delayed like Benson is putting it in his comment, it simply never happened.
Dear Benson, a delay means a few days, maybe a couple of weeks in extraordinary circumstances but a delay is certainly not 70 days. A 70-day delay means unfulfillment of commitment. 
Every couple of weeks James came up with new excuses and simple lies to delay the promised refund. The latest excuse is the virus crisis and that they are always confined to their homes(not true)and online banking doesn't exist in Kenya(obviously not true as they have that and they have PesaPal)but any slightly intelligent person could easily spot the dishonesty of James and Benson as the refund was promised and arranged for more than 70 days ago when there was no virus crisis in Europe, the US or Africa and when business was going as normal.
Twinkle Star Tours, your behavior is absolutely disgraceful.

In conclusion, I encourage other travelers to visit the breathtaking natural beauty and stunning wildlife variety of East Africa. Just not with 'Twinkle Star Tours' because with them things will only work out if all the right stars align perfectly for you and your group and if something goes wrong along the way, you will be on your own."
Agata,CH,Visited: February 2023,06-Mar-23,20-35,first safari,Safari Update Travels,2,"Overpriced dishonesty, don't go with them!","Unfortunately, can't recommend this company. Their offer and price doesn't reflect the actual services and the moment you have a complaint they stop responding. We booked a group mid-range safari but everyone else in the group booked a budget one, so we paid double (or triple?) and got the same service but accommodation. The jeep was far from luxury and they promised a goup of 6 ppl but ended up cramming 8 people in the small jeep most of the time. We also paid for 2 entries to Masai Mara but were taken once, while everyone else in our group went on the extra game drive and we were not told about this (!!!). The only positives were the accommodation and the driver - he was great and we managed to see plenty of animals."
